JournalName,ImpactFactor2020,Source,Type,Title,Publisher,ISSN,DoIsbyYear,BackFileDoIs,CurrentDoIs,TotalDoIs,Subjects,ImpactFactor,Journals_Metadata_Paths
Academic Pediatrics,2.007,ImpactFactorListJournals,OpenAccess,Academic Journal of Pediatrics & Neonatology,Juniper Publishers,"['2474-7521', '2474-7521']","[[2016, 46], [2017, 41], [2018, 37], [2019, 34], [2020, 33], [2015, 2], [2021, 1]]",126.0,68.0,194.0,[],5.417,Journals_Metadata/Academic Pediatrics.json
Acta Orthopaedica,3.217,ImpactFactorListJournals,OpenAccess,Acta Orthopaedica,Informa UK (Taylor & Francis),"['1745-3682', '1745-3674']","[[2020, 165], [2006, 164], [2005, 162], [2014, 155], [2010, 144], [2009, 143], [2016, 135], [2008, 135], [2011, 134], [2007, 134], [2017, 126], [2019, 122], [2013, 120], [2015, 114], [2012, 111], [2018, 106], [2021, 54], [2004, 47], [1992, 27], [1994, 25], [1988, 23], [1997, 6], [1962, 5], [1981, 1]]",2017.0,341.0,2358.0,"[{'name': 'General Medicine', 'ASJC': 2700}, {'name': 'Orthopedics and Sports Medicine', 'ASJC': 2732}]",,Journals_Metadata/Acta Orthopaedica.json
Advances in Medical Sciences,2.08,ImpactFactorListJournals,OpenAccess,Journal of Advances in Medical and Pharmaceutical Sciences,Sciencedomain International,['2394-1111'],"[[2016, 142], [2017, 76], [2018, 70], [2020, 62], [2015, 60], [2019, 57], [2021, 17], [2014, 4]]",352.0,136.0,488.0,[],,Journals_Metadata/Advances in Medical Sciences.json
Aesthetic Surgery Journal,3.48,ImpactFactorListJournals,OpenAccess,Journal of Aesthetic & Reconstructive Surgery,OMICS Publishing Group,['2472-1905'],"[[2017, 14], [2018, 13], [2016, 13], [2015, 9]]",49.0,0.0,49.0,[],3.48,Journals_Metadata/Aesthetic Surgery Journal.json
American Journal of Clinical Dermatology,3.84,ImpactFactorListJournals,OpenAccess,American Journal of Clinical Dermatology,Springer-Verlag,"['1179-1888', '1175-0561']","[[2017, 91], [2019, 85], [2003, 83], [2020, 77], [2018, 76], [2016, 74], [2010, 73], [2002, 68], [2004, 65], [2015, 64], [2008, 62], [2009, 61], [2007, 57], [2001, 53], [2000, 53], [2014, 52], [2012, 52], [2011, 52], [2006, 51], [2005, 49], [2013, 47], [2021, 27]]",1183.0,189.0,1372.0,"[{'name': 'General Medicine', 'ASJC': 2700}, {'name': 'Dermatology', 'ASJC': 2708}]",5.056,Journals_Metadata/American Journal of Clinical Dermatology.json
American Journal of Clinical Pathology,1.962,ImpactFactorListJournals,OpenAccess,American Journal of Clinical Pathology,Oxford University Press,"['1943-7722', '0002-9173']","[[2018, 1008], [2012, 924], [2015, 745], [2020, 602], [2014, 556], [2016, 535], [2019, 525], [2013, 466], [1990, 424], [1984, 419], [1986, 410], [1991, 405], [1982, 404], [1983, 394], [1981, 392], [1994, 387], [1988, 379], [1966, 379], [1955, 378], [1989, 374], [1987, 373], [1980, 373], [1985, 371], [1979, 357], [1995, 347], [1969, 347], [1968, 343], [1956, 342], [1972, 334], [1993, 333], [1971, 333], [1992, 327], [1996, 326], [1974, 322], [1965, 321], [1973, 320], [1978, 319], [1967, 313], [1952, 309], [1977, 308], [1970, 304], [1964, 302], [1998, 299], [1975, 299], [1954, 299], [1959, 297], [1958, 294], [1951, 293], [1963, 287], [1997, 284], [1976, 283], [1957, 283], [1950, 281], [1999, 279], [1962, 279], [1949, 279], [1960, 271], [2003, 266], [1961, 255], [2010, 253], [2009, 245], [1948, 245], [1953, 241], [2011, 233], [1947, 233], [1942, 229], [1946, 223], [1945, 223], [2008, 222], [2007, 222], [2002, 221], [2005, 219], [2006, 217], [2004, 213], [2017, 212], [1940, 211], [2001, 208], [1938, 208], [2000, 194], [1939, 180], [1941, 179], [1943, 174], [2021, 159], [1937, 130], [1944, 115], [1935, 79], [1936, 76], [1933, 68], [1932, 65], [1931, 59], [1934, 53]]",26781.0,1286.0,28067.0,"[{'name': 'General Medicine', 'ASJC': 2700}]",2.413,Journals_Metadata/American Journal of Clinical Pathology.json
American journal of nursing,1.234,ImpactFactorListJournals,OpenAccess,American Journal of Nursing Science,Science Publishing Group,['2328-5745'],"[[2020, 70], [2015, 61], [2017, 56], [2019, 50], [2016, 38], [2018, 29], [2014, 19], [2021, 12], [2013, 8], [2012, 1]]",212.0,132.0,344.0,[],1.389,Journals_Metadata/American journal of nursing.json
American Journal of Obstetrics and Gynecology,6.12,ImpactFactorListJournals,OpenAccess,American Journal of Obstetrics & Gynecology MFM,Elsevier ,['2589-9333'],"[[2020, 170], [2021, 130], [2019, 54]]",0.0,354.0,354.0,[],6.502,Journals_Metadata/American Journal of Obstetrics and Gynecology.json
American Journal of Ophthalmology,4.795,ImpactFactorListJournals,OpenAccess,The Pan-American Journal of Ophthalmology,Medknow Publications,"['2219-4673', '2219-4665']","[[2018, 28], [2015, 25]]",53.0,0.0,53.0,[],,Journals_Metadata/American Journal of Ophthalmology.json
American Journal of Pathology,3.762,ImpactFactorListJournals,OpenAccess,American Journal Of Pathology,Elsevier ,"['1525-2191', '0002-9440']","[[2010, 620], [2011, 612], [2001, 513], [2012, 500], [2009, 499], [2002, 495], [2003, 484], [2000, 456], [2013, 454], [1999, 447], [2004, 433], [2007, 398], [2006, 396], [2014, 358], [2008, 349], [2015, 340], [2005, 338], [2016, 333], [2018, 293], [2017, 291], [2020, 250], [2019, 248], [1998, 217], [2021, 137]]",8826.0,635.0,9461.0,"[{'name': 'Pathology and Forensic Medicine', 'ASJC': 2734}]",4.069,Journals_Metadata/American Journal of Pathology.json
Analytical Cellular Pathology,1.788,ImpactFactorListJournals,OpenAccess,Analytical Cellular Pathology,Hindawi Limited,"['2210-7185', '2210-7177']","[[2010, 53], [2019, 51], [2008, 46], [2018, 45], [2009, 45], [2020, 44], [2015, 41], [2014, 41], [2007, 41], [2012, 39], [2005, 33], [2006, 30], [2011, 27], [2004, 24], [2016, 22], [2013, 17], [2021, 16], [2017, 12]]",516.0,111.0,627.0,"[{'name': 'Cancer Research', 'ASJC': 1306}, {'name': 'Cell Biology', 'ASJC': 1307}, {'name': 'Molecular Medicine', 'ASJC': 1313}, {'name': 'General Medicine', 'ASJC': 2700}, {'name': 'Pathology and Forensic Medicine', 'ASJC': 2734}, {'name': 'Cancer Research', 'ASJC': 1306}, {'name': 'Cell Biology', 'ASJC': 1307}, {'name': 'Molecular Medicine', 'ASJC': 1313}, {'name': 'General Medicine', 'ASJC': 2700}, {'name': 'Pathology and Forensic Medicine', 'ASJC': 2734}, {'name': 'Cancer Research', 'ASJC': 1306}, {'name': 'Cell Biology', 'ASJC': 1307}, {'name': 'Molecular Medicine', 'ASJC': 1313}, {'name': 'General Medicine', 'ASJC': 2700}, {'name': 'Pathology and Forensic Medicine', 'ASJC': 2734}]",,Journals_Metadata/Analytical Cellular Pathology.json
Anatolian Journal of Cardiology,1.112,ImpactFactorListJournals,OpenAccess,The Anatolian Journal of Cardiology,Kare Publishing,"['2149-2271', '2149-2263']","[[2015, 332], [2018, 224], [2017, 206], [2016, 204], [2020, 203], [2019, 181], [2021, 24]]",966.0,408.0,1374.0,"[{'name': 'Cardiology and Cardiovascular Medicine', 'ASJC': 2705}]",1.223,Journals_Metadata/Anatolian Journal of Cardiology.json
Annals of Anatomy,2.241,ImpactFactorListJournals,OpenAccess,Annals of Anatomy - Anatomischer Anzeiger,Elsevier ,['0940-9602'],"[[2016, 153], [1998, 148], [1996, 147], [1994, 146], [2001, 145], [1993, 143], [1997, 142], [1999, 134], [2002, 132], [2003, 130], [2000, 130], [2013, 128], [2006, 125], [2018, 122], [2020, 121], [2004, 121], [1995, 118], [2012, 117], [1992, 115], [2019, 112], [2014, 108], [2017, 107], [2008, 106], [2021, 105], [2011, 105], [2005, 100], [2007, 98], [2015, 93], [2009, 81], [2010, 71]]",3265.0,338.0,3603.0,"[{'name': 'Developmental Biology', 'ASJC': 1309}, {'name': 'General Medicine', 'ASJC': 2700}, {'name': 'Anatomy', 'ASJC': 2702}]",2.241,Journals_Metadata/Annals of Anatomy.json
Annals of microbiology,1.431,ImpactFactorListJournals,OpenAccess,Annals of Clinical Microbiology,The Korean Society of Clinical Microbiology,"['2288-6850', '2288-0585']","[[2013, 31], [2020, 30], [2015, 24], [2014, 24], [2016, 19], [2018, 18], [2017, 17], [2019, 16], [2021, 4]]",133.0,50.0,183.0,[],,Journals_Metadata/Annals of microbiology.json
Annals of Pediatric Cardiology,,ImpactFactorListJournals,OpenAccess,Annals of Pediatric Cardiology,Medknow Publications,['0974-2069'],"[[2020, 96], [2019, 77], [2018, 75], [2017, 74], [2016, 67], [2014, 62], [2015, 61], [2021, 57], [2011, 53], [2013, 50], [2012, 49], [2010, 41], [2009, 36], [2008, 32]]",600.0,230.0,830.0,"[{'name': 'Cardiology and Cardiovascular Medicine', 'ASJC': 2705}, {'name': 'Pediatrics, Perinatology, and Child Health', 'ASJC': 2735}]",,Journals_Metadata/Annals of Pediatric Cardiology.json
Annals of Saudi Medicine,0.808,ImpactFactorListJournals,OpenAccess,Annals of Saudi Medicine,King Faisal Specialist Hospital and Research Centre,"['0975-4466', '0256-4947']","[[2008, 233], [2011, 212], [2007, 202], [1997, 199], [1995, 190], [1998, 189], [1991, 178], [1996, 177], [1999, 176], [1993, 168], [1992, 167], [2000, 163], [1994, 163], [1989, 156], [1990, 155], [2012, 139], [2009, 138], [2004, 138], [2013, 137], [1988, 131], [2005, 127], [2003, 125], [2006, 123], [2002, 119], [2010, 116], [2001, 112], [2014, 111], [2015, 80], [2016, 76], [2018, 71], [1987, 71], [2017, 70], [2020, 67], [2019, 61], [1983, 55], [1986, 52], [1984, 48], [1982, 45], [1985, 37], [1981, 34], [2021, 18]]",4883.0,146.0,5029.0,"[{'name': 'General Medicine', 'ASJC': 2700}]",0.808,Journals_Metadata/Annals of Saudi Medicine.json
Annual Review of Microbiology,10.242,ImpactFactorListJournals,OpenAccess,Annual Review of Microbiology,Annual Reviews,"['1545-3251', '0066-4227']","[[2020, 40], [2017, 38], [1993, 35], [2011, 32], [2002, 32], [2019, 31], [2013, 31], [2010, 31], [1988, 31], [2003, 30], [1994, 30], [1985, 30], [2009, 29], [2007, 29], [2001, 29], [2000, 29], [1996, 29], [1995, 29], [1990, 29], [1987, 29], [2015, 28], [1986, 28], [1971, 28], [2014, 27], [1983, 27], [1978, 27], [1963, 27], [2012, 26], [2008, 26], [2006, 26], [2004, 26], [1992, 26], [1977, 26], [1976, 26], [1975, 26], [1967, 26], [2018, 25], [2016, 25], [2005, 25], [1991, 25], [1989, 25], [1984, 25], [1979, 25], [1998, 24], [1980, 24], [1973, 24], [1954, 24], [1997, 23], [1982, 23], [1981, 23], [1959, 23], [1957, 23], [1952, 23], [1999, 22], [1970, 22], [1969, 22], [1968, 22], [1974, 21], [1972, 21], [1965, 21], [1958, 21], [1953, 21], [1951, 21], [1949, 20], [1948, 20], [1960, 19], [1956, 19], [1950, 19], [1947, 19], [1966, 18], [1955, 18], [1964, 16], [1961, 15], [1962, 14], [2021, 2]]",1798.0,73.0,1871.0,"[{'name': 'Microbiology', 'ASJC': 2404}]",11.0,Journals_Metadata/Annual Review of Microbiology.json
Archives of Dermatological Research,2.309,ImpactFactorListJournals,OpenAccess,Archives of Dermatological Research,Springer-Verlag,"['1432-069X', '0340-3696']","[[1957, 420], [1913, 359], [1912, 359], [1921, 348], [1961, 331], [1964, 309], [1926, 298], [1972, 292], [1966, 277], [1996, 276], [1928, 272], [1911, 266], [1914, 265], [1970, 235], [1930, 227], [1924, 218], [1922, 196], [1910, 187], [1907, 175], [1981, 162], [1903, 162], [1932, 160], [1898, 160], [1905, 159], [1909, 157], [1904, 155], [1985, 153], [1906, 153], [1967, 152], [1902, 151], [1908, 147], [1960, 145], [1935, 139], [1933, 139], [1916, 139], [2019, 135], [1979, 135], [2020, 134], [1901, 134], [1899, 132], [1975, 131], [1982, 130], [1965, 130], [1938, 130], [1980, 128], [2013, 127], [1990, 127], [1929, 126], [1995, 125], [1897, 125], [1978, 124], [1977, 123], [1892, 123], [1931, 122], [1923, 119], [1900, 117], [1894, 117], [1884, 117], [1989, 116], [1998, 115], [1896, 113], [1888, 113], [1997, 110], [1987, 110], [1974, 108], [1991, 107], [2012, 106], [1915, 106], [1889, 106], [1887, 106], [1986, 105], [1895, 105], [1994, 103], [1993, 103], [2008, 102], [1973, 102], [1988, 99], [1984, 99], [1976, 99], [1969, 99], [1937, 99], [1934, 98], [1886, 98], [2009, 97], [1925, 97], [2007, 96], [2004, 96], [1999, 96], [1971, 96], [2016, 95], [2014, 95], [2005, 95], [1983, 95], [2006, 94], [1992, 93], [2017, 91], [2011, 90], [1940, 90], [1963, 89], [1955, 89], [2010, 88], [1956, 87], [2001, 86], [1936, 85], [2000, 84], [2018, 83], [1968, 83], [2015, 82], [1927, 80], [2003, 79], [1954, 79], [2002, 75], [1959, 75], [1952, 74], [1885, 70], [1949, 68], [1891, 68], [1958, 67], [1939, 67], [2021, 66], [1893, 66], [1943, 64], [1919, 64], [1951, 63], [1950, 63], [1953, 61], [1962, 58], [1890, 53], [1918, 51], [1869, 50], [1948, 48], [1871, 46], [1870, 46], [1883, 44], [1882, 44], [1879, 44], [1941, 43], [1872, 41], [1880, 39], [1917, 38], [1942, 35], [1881, 32], [1873, 30], [1947, 24], [1920, 24], [1944, 20], [1946, 13]]",17290.0,335.0,17625.0,"[{'name': 'General Medicine', 'ASJC': 2700}, {'name': 'Dermatology', 'ASJC': 2708}]",,Journals_Metadata/Archives of Dermatological Research.json
Asian Pacific Journal of Tropical Medicine,1.772,ImpactFactorListJournals,OpenAccess,Asian Pacific Journal of Tropical Medicine,Medknow Publications,['1995-7645'],"[[2014, 294], [2010, 241], [2016, 229], [2011, 215], [2012, 209], [2013, 196], [2017, 188], [2015, 187], [2018, 139], [2020, 95], [2019, 93], [2021, 30]]",1898.0,218.0,2116.0,"[{'name': 'General Medicine', 'ASJC': 2700}]",,Journals_Metadata/Asian Pacific Journal of Tropical Medicine.json
BMC dermatology,0.603,ImpactFactorListJournals,OpenAccess,BMC Dermatology,Springer (Biomed Central Ltd.),"['1471-5945', '1471-5945']","[[2020, 24], [2012, 21], [2014, 19], [2015, 18], [2004, 18], [2019, 16], [2017, 16], [2013, 16], [2011, 16], [2016, 15], [2002, 15], [2005, 13], [2018, 12], [2009, 12], [2010, 11], [2006, 10], [2001, 9], [2007, 6], [2008, 5], [2003, 5]]",237.0,40.0,277.0,"[{'name': 'Dermatology', 'ASJC': 2708}]",,Journals_Metadata/BMC dermatology.json
BMC public health,2.567,ImpactFactorListJournals,OpenAccess,BMC Public Health,Springer (Biomed Central Ltd.),"['1471-2458', '1471-2458']","[[2020, 1921], [2019, 1763], [2015, 1451], [2014, 1405], [2018, 1318], [2013, 1280], [2012, 1179], [2016, 1118], [2017, 1081], [2011, 1056], [2021, 921], [2010, 815], [2009, 509], [2008, 433], [2007, 359], [2006, 314], [2005, 142], [2004, 69], [2003, 42], [2002, 27], [2001, 17]]",12615.0,4605.0,17220.0,"[{'name': 'Public Health, Environmental and Occupational Health', 'ASJC': 2739}]",,Journals_Metadata/BMC public health.json
Brain pathology,6.155,ImpactFactorListJournals,OpenAccess,Brain Pathology,Wiley (Blackwell Publishing),"['1750-3639', '1015-6305']","[[2006, 524], [2010, 163], [1997, 139], [2014, 134], [2019, 129], [2017, 123], [2009, 119], [2016, 116], [2018, 103], [2008, 103], [2012, 102], [2015, 101], [2020, 99], [2011, 97], [2013, 96], [1994, 95], [2007, 94], [1996, 76], [1995, 63], [1993, 61], [2021, 44], [1992, 44], [2004, 42], [1991, 38], [1999, 33], [1998, 23], [2000, 19], [2001, 17], [1990, 14], [2003, 5], [2005, 4], [2002, 4]]",2552.0,272.0,2824.0,"[{'name': 'Clinical Neurology', 'ASJC': 2728}, {'name': 'Pathology and Forensic Medicine', 'ASJC': 2734}, {'name': 'General Neuroscience', 'ASJC': 2800}]",6.624,Journals_Metadata/Brain pathology.json
